site,cruiseid,year,month,day,date,yrday_gmt,lat,lon,HLII_narB[cells/mL],staNaNard_deviation[cells/mL],LLI_narB[cells/mL],staNaNard_deviation[cells/mL],temp,sal,depth[m],sigma_0
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,51300,1460,0.65,NaN,26.25405,35.1754,5,23.0885
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,54100,6960,0.65,NaN,26.25405,35.1755,25,23.09
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,38800,2760,NaN,NaN,26.25265,35.17535,45,23.092
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,44600,3500,0.65,NaN,26.2519,35.1763,60,23.0935
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,42300,928,0.65,NaN,25.9974,35.1785,75,23.176
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,31300,3150,26.6,12.8,25.0553,35.17235,85,23.462
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,18100,2530,23900,6080,23.56525,35.1773,100,23.9115
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,7870,1260,39500,5630,22.64735,35.19795,115,24.193
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,3030,219,36600,2730,22.0517,35.2008,125,24.364
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,148,27.8,9200,2160,20.5773,35.12525,150,24.713
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,30.2,10.4,1700,160,19.2756,35.011,175,24.968
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,NaN,NaN,65,15.5,18.106,34.8922,200,25.173
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,43800,6170,20.8,5.66,25.27745,35.0801,5,23.3195
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,35200,1810,50.5,17.7,25.28,35.0802,25,23.32
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,42400,3830,68,27.3,25.27885,35.0848,45,23.325
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,31700,3660,22.6,3.96,25.2777,35.0876,60,23.3285
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,34700,2190,75.2,17.2,25.22485,35.0992,75,23.3545
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,29800,2020,727,133,24.4633,35.10175,85,23.5875
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,3380,181,31100,5830,23.39295,35.12365,100,23.921
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,1410,316,21400,5560,22.8093,35.1515,115,24.112
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,385,60.2,14000,1150,22.4639,35.16315,125,24.2195
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,14.7,2.66,1520,173,21.6528,35.17895,150,24.4605
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,0.65,NaN,188,25,21.02695,35.1564,175,24.616
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,8.21,1.96,23.8,4.86,19.98665,35.0378,200,24.805
HOT,176,2005,12,13,12/13/05,124588800,22.75,-158,31400,2930,96,41.4,24.9411,35.18485,5,23.501
HOT,176,2005,12,13,12/13/05,124588800,22.75,-158,31600,692,139,44.2,24.94765,35.1847,25,23.5
HOT,176,2005,12,13,12/13/05,124588800,22.75,-158,29100,11800,34.7,16.9,24.945,35.2107,45,23.522
HOT,176,2005,12,13,12/13/05,124588800,22.75,-158,27800,10600,NaN,NaN,24.9565,35.2376,60,23.54
HOT,176,2005,12,13,12/13/05,124588800,22.75,-158,NaN,NaN,NaN,NaN,24.9705,35.2784,75,23.5675
HOT,176,2005,12,13,12/13/05,124588800,22.75,-158,22900,4700,334,91.8,24.9804,35.30105,85,23.5825
HOT,176,2005,12,13,12/13/05,124588800,22.75,-158,2770,1330,3910,1650,24.39575,35.2807,100,23.744
HOT,176,2005,12,13,12/13/05,124588800,22.75,-158,106,32.6,5320,1250,23.2516,35.2117,115,24.0295
HOT,176,2005,12,13,12/13/05,124588800,22.75,-158,60.2,12.3,2980,824,22.55055,35.18635,125,24.2125
HOT,176,2005,12,13,12/13/05,124588800,22.75,-158,12.3,4.38,257,86.1,21.30765,35.14925,150,24.5325
HOT,176,2005,12,13,12/13/05,124588800,22.75,-158,11.7,4.34,33.6,14.4,20.1248,35.0651,175,24.788
HOT,176,2005,12,13,12/13/05,124588800,22.75,-158,NaN,NaN,0.65,NaN,18.7262,34.8682,200,25
HOT,177,2006,1,25,1/25/06,128304000,22.75,-158,19800,4510,942,445,23.5587,35.264,5,23.9735
HOT,177,2006,1,25,1/25/06,128304000,22.75,-158,18600,2960,1000,296,23.55465,35.26365,25,23.9755
HOT,177,2006,1,25,1/25/06,128304000,22.75,-158,15600,2000,735,147,23.53975,35.2641,45,23.9815
HOT,177,2006,1,25,1/25/06,128304000,22.75,-158,23100,5840,807,287,23.5207,35.2664,60,23.9895
HOT,177,2006,1,25,1/25/06,128304000,22.75,-158,21700,4430,506,187,23.50985,35.26915,75,23.9955
HOT,177,2006,1,25,1/25/06,128304000,22.75,-158,20000,2350,447,133,23.49965,35.2725,85,24.002
HOT,177,2006,1,25,1/25/06,128304000,22.75,-158,22200,2910,567,138,23.4595,35.2804,100,24.0205
HOT,177,2006,1,25,1/25/06,128304000,22.75,-158,16900,954,344,112,23.30265,35.2858,115,24.0715
HOT,177,2006,1,25,1/25/06,128304000,22.75,-158,19100,1510,531,114,23.07445,35.28475,125,24.137
HOT,177,2006,1,25,1/25/06,128304000,22.75,-158,13600,3210,2140,534,22.3017,35.26145,150,24.3415
HOT,177,2006,1,25,1/25/06,128304000,22.75,-158,130,42.9,456,80.6,20.8853,35.1215,175,24.628
HOT,177,2006,1,25,1/25/06,128304000,22.75,-158,16.4,6.23,11.6,4.2,19.2925,34.9904,200,24.9495
HOT,178,2006,2,15,2/15/06,130118400,22.75,-158,28400,2720,1720,239,23.1332,35.20415,5,24.052
HOT,178,2006,2,15,2/15/06,130118400,22.75,-158,28300,4180,1870,400,23.11835,35.20645,25,24.059
HOT,178,2006,2,15,2/15/06,130118400,22.75,-158,27600,1790,2270,266,23.10565,35.20965,45,24.0665
HOT,178,2006,2,15,2/15/06,130118400,22.75,-158,23100,9080,NaN,NaN,23.10045,35.21175,60,24.0705
HOT,178,2006,2,15,2/15/06,130118400,22.75,-158,25900,3840,3260,542,23.0548,35.2177,75,24.0885
