crn,julian,press,theta,sigma,temp,sal,oxy,xmiss,fluor,nit
2,62,0,25.6554,23.127,25.6554,34.9802,213.6,NaN,NaN,NaN
2,62,2,25.704,23.116,25.7045,34.9855,213.8,12.32,0.0416,NaN
2,62,4,25.7004,23.117,25.7012,34.9856,208.8,11.67,0.0747,NaN
2,62,6,25.6886,23.12,25.69,34.9836,212.1,11.9,0.0765,NaN
2,62,8,25.6853,23.12,25.6871,34.9825,211.6,9.1,0.0732,NaN
2,62,10,25.681,23.123,25.6832,34.9849,211.9,8.08,0.0793,NaN
2,62,12,25.6795,23.123,25.6822,34.9846,214.7,7.43,0.0869,NaN
2,62,14,25.6729,23.124,25.676,34.9825,214.3,5.12,0.0872,NaN
2,62,16,25.6742,23.123,25.6777,34.9829,213.3,5.3,0.0831,NaN
2,62,18,25.6699,23.127,25.6739,34.9851,213.3,3.28,0.0869,NaN
2,62,20,25.6671,23.128,25.6715,34.9854,213,2.37,0.1075,NaN
2,62,22,25.6652,23.128,25.6701,34.9857,213.4,1.98,0.1011,NaN
2,62,24,25.6633,23.129,25.6686,34.9862,213.5,1.75,0.0947,NaN
2,62,26,25.6666,23.129,25.6723,34.9866,213,1.86,0.1081,NaN
2,62,28,25.6593,23.131,25.6654,34.9869,212.8,1.54,0.1151,NaN
2,62,30,25.6566,23.132,25.6632,34.9875,212.5,1.38,0.1135,NaN
2,62,32,25.6568,23.133,25.6639,34.9879,212,1.13,0.1287,NaN
2,62,34,25.6506,23.135,25.6581,34.9888,211.9,0.98,0.1206,NaN
2,62,36,25.6464,23.137,25.6544,34.9888,211,0.89,0.1145,NaN
2,62,38,25.639,23.138,25.6474,34.9882,210.5,0.88,0.1266,NaN
2,62,40,25.6324,23.142,25.6412,34.9897,210.2,1.02,0.1309,NaN
2,62,42,25.628,23.143,25.6373,34.9895,210.4,0.89,0.1449,NaN
2,62,44,25.6246,23.145,25.6344,34.9908,209.8,0.7,0.1534,NaN
2,62,46,25.621,23.146,25.6312,34.9913,209.3,0.61,0.1738,NaN
2,62,48,25.6165,23.148,25.6271,34.9915,208.9,0.61,0.1712,NaN
2,62,50,25.6125,23.15,25.6235,34.9926,208.4,0.57,0.1841,NaN
2,62,52,25.6094,23.152,25.6209,34.994,208.2,0.58,0.2015,NaN
2,62,54,25.6021,23.155,25.614,34.9948,208.1,0.56,0.2126,NaN
2,62,56,25.5919,23.158,25.6043,34.9945,208.2,0.6,0.2307,NaN
2,62,58,25.5782,23.164,25.591,34.9979,208.2,0.7,0.2559,NaN
2,62,60,25.5536,23.173,25.5668,34.9994,207.5,0.87,0.278,NaN
2,62,62,25.5175,23.185,25.5311,35.0001,207.3,0.37,0.3064,NaN
2,62,64,25.4747,23.199,25.4887,35.0009,207.7,0.26,0.3423,NaN
2,62,66,25.3975,23.224,25.412,35.0037,207.9,0.21,0.3632,NaN
2,62,68,25.3323,23.245,25.3472,35.0047,208,0.18,0.3908,NaN
2,62,70,25.2488,23.269,25.2641,35.0028,209.3,0.17,0.4372,NaN
2,62,72,25.1496,23.301,25.1653,35.0052,209.8,0.2,0.4456,NaN
2,62,74,25.0569,23.33,25.073,35.0052,209.9,0.35,0.4786,NaN
2,62,76,24.9239,23.373,24.9404,35.0089,208.4,0.39,0.5337,NaN
2,62,78,24.7518,23.425,24.7686,35.0088,209.6,0.36,0.5695,NaN
2,62,80,24.6552,23.456,24.6724,35.0114,209.4,0.34,0.6534,NaN
2,62,82,24.5435,23.493,24.5611,35.0158,209.2,0.3,0.7267,NaN
2,62,84,24.3923,23.543,24.4102,35.0225,207.3,0.26,0.7774,NaN
2,62,86,24.2502,23.59,24.2684,35.0276,207.8,0.23,0.844,NaN
2,62,88,24.1683,23.617,24.1869,35.0313,207.3,0.2,0.8872,NaN
2,62,90,24.0507,23.659,24.0696,35.0406,205.2,0.18,0.9967,NaN
2,62,92,23.9976,23.68,24.0169,35.0481,205.9,0.16,1.0175,NaN
2,62,94,23.8649,23.727,23.8846,35.0582,205.2,0.14,1.0547,NaN
2,62,96,23.7717,23.76,23.7918,35.0652,205.2,0.13,1.0822,NaN
2,62,98,23.7188,23.779,23.7393,35.0702,204,0.11,1.0184,NaN
2,62,100,23.592,23.823,23.6128,35.0793,203.5,0.09,0.9743,NaN
2,62,102,23.4656,23.866,23.4868,35.0868,202.5,0.08,0.9255,NaN
2,62,104,23.3685,23.899,23.39,35.0927,202.4,0.05,0.8427,NaN
2,62,106,23.2087,23.947,23.2305,35.0947,201.8,0.04,0.7529,NaN
2,62,108,23.1061,23.978,23.1282,35.0971,201.9,0.03,0.6963,NaN
2,62,110,23.0044,24.012,23.0269,35.1033,200.2,0.03,0.6427,NaN
2,62,112,22.903,24.046,22.9258,35.1086,201.1,0.04,0.5947,NaN
2,62,114,22.7683,24.089,22.7914,35.1149,200.8,0.04,0.5383,NaN
2,62,116,22.6899,24.115,22.7134,35.1197,200.4,0.04,0.4968,NaN
2,62,118,22.6007,24.144,22.6245,35.1238,199.4,0.04,0.4616,NaN
2,62,120,22.5355,24.165,22.5597,35.1279,199.3,0.04,0.4426,NaN
2,62,122,22.4615,24.189,22.486,35.1318,198.5,0.03,0.4343,NaN
2,62,124,22.4136,24.206,22.4385,35.1354,197.9,0.03,0.4163,NaN
2,62,126,22.3112,24.239,22.3364,35.1412,197.4,0.03,0.3911,NaN
2,62,128,22.2138,24.27,22.2393,35.1456,196.7,0.03,0.3641,NaN
2,62,130,22.1194,24.298,22.1452,35.1482,196.6,0.02,0.3349,NaN
2,62,132,22.0193,24.328,22.0455,35.1496,196.1,0.02,0.3223,NaN
2,62,134,21.9116,24.359,21.9381,35.1517,195.1,0.02,0.3125,NaN
2,62,136,21.8139,24.387,21.8407,35.1523,194.7,0.01,0.2941,NaN
2,62,138,21.7349,24.408,21.762,35.1513,193.5,0.01,0.2839,NaN
2,62,140,21.6229,24.439,21.6503,35.1511,193,0.01,0.2548,NaN
2,62,142,21.4801,24.477,21.5078,35.1495,191.9,0.01,0.2353,NaN
2,62,144,21.3839,24.504,21.4118,35.1499,191.6,0.01,0.2063,NaN
2,62,146,21.297,24.53,21.3253,35.1527,191.1,0.01,0.1895,NaN
2,62,148,21.1957,24.554,21.2242,35.1473,190.4,0.01,0.1722,NaN
2,62,150,21.1079,24.581,21.1367,35.1515,190.2,0.01,0.1487,NaN
2,62,152,21.0072,24.607,21.0363,35.1497,188.5,0.01,0.1373,NaN
2,62,154,20.9285,24.628,20.958,35.1492,189.4,0.01,0.1342,NaN
2,62,156,20.8356,24.652,20.8653,35.1478,189.2,0.01,0.1241,NaN
2,62,158,20.7229,24.684,20.7529,35.1488,189.1,0.01,0.1121,NaN
2,62,160,20.6473,24.702,20.6776,35.1458,189,0.01,0.1018,NaN
2,62,162,20.5466,24.729,20.5772,35.1454,189,0.01,0.0879,NaN
2,62,164,20.4878,24.745,20.5187,35.1463,188.6,0.01,0.0879,NaN
2,62,166,20.3454,24.781,20.3765,35.1432,188.5,0.01,0.0841,NaN
2,62,168,20.2494,24.805,20.2808,35.1417,188.6,0.01,0.0777,NaN
2,62,170,20.1412,24.828,20.1728,35.1343,188.7,0.01,0.0754,NaN
2,62,172,20.0602,24.848,20.0921,35.1328,187.7,0.01,0.0703,NaN
2,62,174,19.9189,24.88,19.951,35.1253,188.8,0.01,0.0563,NaN
2,62,176,19.8316,24.9,19.864,35.1212,188.7,0.01,0.0483,NaN
2,62,178,19.7625,24.915,19.7952,35.1179,187.6,0.01,0.0509,NaN
2,62,180,19.6451,24.94,19.6781,35.1106,188.4,0.01,0.0518,NaN
2,62,182,19.5316,24.964,19.5648,35.1025,187.9,0.01,0.0475,NaN
2,62,184,19.3846,24.991,19.418,35.0882,188.4,0.01,0.0443,NaN
2,62,186,19.2858,25.01,19.3194,35.0802,187.9,0.01,0.0398,NaN
2,62,188,19.1816,25.029,19.2154,35.07,187.8,0.01,0.0341,NaN
