ID,year,latitude,longitude,depth,pressure,temp,conduct,salinity,oxygen,beamatt,fluor,smth
30017001,1990.159873,31.808,64.15,5,5.0762,20.668,4.9652,36.755,-9.99,0.452,0.155,687.67
30017001,1990.159873,31.808,64.15,7,5.0761,20.665,6.9512,36.756,-9.99,0.424,0.147,330.53
30017001,1990.159873,31.808,64.15,9,5.076,20.662,8.9373,36.757,-9.99,0.415,0.143,209.04
30017001,1990.159873,31.808,64.15,11,10.9233,20.657,5.0756,36.757,-9.99,0.414,0.144,192.41
30017001,1990.159873,31.808,64.15,13,12.9092,20.661,5.0761,36.757,-9.99,0.415,0.148,178.98
30017001,1990.159873,31.808,64.15,15,14.8952,20.66,5.076,36.756,-9.99,0.415,0.149,160.01
30017001,1990.159873,31.808,64.15,17,16.8812,20.66,5.0762,36.757,-9.99,0.415,0.152,147.07
30017001,1990.159873,31.808,64.15,19,18.8671,20.675,5.0779,36.757,-9.99,0.415,0.161,144.32
30017001,1990.159873,31.808,64.15,21,20.853,20.678,5.0782,36.756,-9.99,0.415,0.163,138.58
30017001,1990.159873,31.808,64.15,23,22.8389,20.684,5.079,36.757,-9.99,0.416,0.172,112.23
30017001,1990.159873,31.808,64.15,25,24.8247,20.684,5.079,36.756,-9.99,0.414,0.183,103.71
30017001,1990.159873,31.808,64.15,27,26.8106,20.684,5.0791,36.756,-9.99,0.415,0.185,94.39
30017001,1990.159873,31.808,64.15,29,28.7964,20.684,5.0792,36.756,-9.99,0.414,0.185,83.94
30017001,1990.159873,31.808,64.15,31,30.7822,20.682,5.079,36.756,-9.99,0.415,0.195,91.39
30017001,1990.159873,31.808,64.15,33,32.768,20.683,5.0792,36.756,-9.99,0.415,0.199,86.92
30017001,1990.159873,31.808,64.15,35,34.7538,20.681,5.0791,36.756,-9.99,0.414,0.195,90.89
30017001,1990.159873,31.808,64.15,37,36.7395,20.682,5.0793,36.756,-9.99,0.415,0.198,89.45
30017001,1990.159873,31.808,64.15,39,38.7253,20.681,5.0792,36.755,-9.99,0.413,0.197,85.61
30017001,1990.159873,31.808,64.15,41,40.711,20.68,5.0793,36.756,-9.99,0.414,0.2,75.77
30017001,1990.159873,31.808,64.15,43,42.6967,20.681,5.0793,36.755,-9.99,0.414,0.202,71.68
30017001,1990.159873,31.808,64.15,45,44.6824,20.679,5.0792,36.755,-9.99,0.415,0.197,60.52
30017001,1990.159873,31.808,64.15,47,46.668,20.68,5.0794,36.755,-9.99,0.415,0.198,50.88
30017001,1990.159873,31.808,64.15,49,48.6537,20.681,5.0796,36.755,-9.99,0.415,0.202,40.78
30017001,1990.159873,31.808,64.15,51,50.6393,20.681,5.0797,36.755,-9.99,0.414,0.201,37.67
30017001,1990.159873,31.808,64.15,53,52.6249,20.683,5.08,36.755,-9.99,0.415,0.21,38.26
30017001,1990.159873,31.808,64.15,55,54.6105,20.686,5.0804,36.755,-9.99,0.415,0.21,37.36
30017001,1990.159873,31.808,64.15,57,56.596,20.686,5.0805,36.755,-9.99,0.415,0.216,33.93
30017001,1990.159873,31.808,64.15,59,58.5816,20.685,5.0805,36.755,-9.99,0.415,0.213,30.73
30017001,1990.159873,31.808,64.15,61,60.5671,20.684,5.0805,36.755,-9.99,0.415,0.205,28.62
30017001,1990.159873,31.808,64.15,63,62.5526,20.683,5.0805,36.755,-9.99,0.415,0.199,26.84
30017001,1990.159873,31.808,64.15,65,64.5381,20.684,5.0807,36.755,-9.99,0.415,0.197,26.02
30017001,1990.159873,31.808,64.15,67,66.5235,20.683,5.0805,36.754,-9.99,0.415,0.208,25.48
30017001,1990.159873,31.808,64.15,69,68.509,20.684,5.0807,36.754,-9.99,0.415,0.216,24.38
30017001,1990.159873,31.808,64.15,71,70.4944,20.686,5.081,36.754,-9.99,0.415,0.209,23.63
