crn,decimal,depth,theta,sigma,Temp,sal,oxy,xmiss,fluor
101,1988.0819672131,2,26.2691,23.121,26.2695,35.2252,226.2,12.805,0.0492
102,1988.0819672131,4,26.2728,23.107,26.2737,35.2079,224.8,8.26,0.0424
103,1988.0819672131,6,26.271,23.107,26.2724,35.2076,215.7,8.045,0.0508
104,1988.0819672131,8,26.2687,23.109,26.2705,35.2095,222.6,6.555,0.0482
105,1988.0819672131,10,26.2675,23.111,26.2697,35.2109,220,5.755,0.056
106,1988.0819672131,12,26.2652,23.11,26.2679,35.2094,218.2,5.35,0.0637
107,1988.0819672131,14,26.2613,23.111,26.2644,35.2093,217.2,4.415,0.0706
108,1988.0819672131,16,26.2573,23.113,26.2609,35.2092,216.5,3.08,0.069
109,1988.0819672131,18,26.2553,23.113,26.2593,35.2095,216.8,2.24,0.0699
110,1988.0819672131,20,26.2543,23.116,26.2588,35.2125,216.7,1.77,0.0738
111,1988.0819672131,22,26.2515,23.117,26.2565,35.2124,216.2,1.81,0.0807
112,1988.0819672131,24,26.2509,23.117,26.2563,35.2123,215.8,1.745,0.092
113,1988.0819672131,26,26.25,23.117,26.2558,35.2122,216.1,2.01,0.0883
114,1988.0819672131,28,26.2478,23.117,26.2541,35.2117,215.4,1.935,0.0858
115,1988.0819672131,30,26.2451,23.118,26.2519,35.2117,214.6,1.84,0.0921
116,1988.0819672131,32,26.2365,23.121,26.2436,35.2115,215.1,1.795,0.1038
117,1988.0819672131,34,26.2235,23.125,26.2311,35.2121,215.8,1.975,0.1107
118,1988.0819672131,36,26.2146,23.129,26.2227,35.2129,215.8,2.125,0.1362
119,1988.0819672131,38,26.2072,23.131,26.2157,35.2133,215.1,2.03,0.1431
120,1988.0819672131,40,26.1954,23.135,26.2044,35.2137,216.9,1.965,0.1486
121,1988.0819672131,42,26.1648,23.148,26.1742,35.2175,216.8,1.775,0.1556
122,1988.0819672131,44,26.1341,23.157,26.1439,35.2161,214.2,1.665,0.1593
123,1988.0819672131,46,26.016,23.192,26.0263,35.2139,215.5,1.66,0.1708
