site	cruiseid	year	month	day	date	yrday_gmt	lat	lon	HLII_narB[cells/mL]	temp	sal	depth[m]	sigma_0	standard_deviation[cells/mL]
BATS	205	2005	10	11	10/11/05	119145600	31.6667	-64.1667	6.96E+03	26.0271	36.606	1	24.237	1.53E+03
BATS	205	2005	10	11	10/11/05	119145600	31.6667	-64.1667	1.05E+04	26.0296	36.606	10	24.235	1.07E+03
BATS	205	2005	10	11	10/11/05	119145600	31.6667	-64.1667	1.17E+04	26.0046	36.6193	20	24.255	7.10E+02
BATS	205	2005	10	11	10/11/05	119145600	31.6667	-64.1667	7.96E+03	25.9302	36.6776	40	24.326	4.75E+02
BATS	205	2005	10	11	10/11/05	119145600	31.6667	-64.1667	2.81E+04	21.977	36.6828	60	25.506	7.51E+03
BATS	205	2005	10	11	10/11/05	119145600	31.6667	-64.1667	1.22E+04	20.5028	36.7143	80	25.939	1.98E+03
BATS	205	2005	10	11	10/11/05	119145600	31.6667	-64.1667	1.07E+03	19.6661	36.686	100	26.146	1.65E+02
BATS	205	2005	10	11	10/11/05	119145600	31.6667	-64.1667	5.36E+01	19.2594	36.6784	120	26.247	1.82E+01
BATS	205	2005	10	11	10/11/05	119145600	31.6667	-64.1667	1.23E+01	19.0494	36.6669	140	26.293	3.45E+00
BATS	205	2005	10	11	10/11/05	119145600	31.6667	-64.1667	6.50E-01	18.9453	36.6562	160	26.312	nd
BATS	205	2005	10	11	10/11/05	119145600	31.6667	-64.1667	6.50E-01	18.82775	36.7082	180	25.982	nd
BATS	205	2005	10	11	10/11/05	119145600	31.6667	-64.1667	6.50E-01	18.7102	36.6378	200	26.359	nd
BATS	206	2005	11	10	11/10/05	121737600	31.6667	-64.1667	2.68E+04	24.693	36.6608	1	24.695	4.01E+03
BATS	206	2005	11	10	11/10/05	121737600	31.6667	-64.1667	3.20E+04	24.6955	36.6623	10	24.694	5.01E+03
BATS	206	2005	11	10	11/10/05	121737600	31.6667	-64.1667	2.72E+04	24.6994	36.662	20	24.693	2.31E+03
BATS	206	2005	11	10	11/10/05	121737600	31.6667	-64.1667	2.92E+04	24.6884	36.6651	40	24.7	3.62E+03
BATS	206	2005	11	10	11/10/05	121737600	31.6667	-64.1667	2.12E+04	21.6047	36.6979	60	25.623	1.31E+03
BATS	206	2005	11	10	11/10/05	121737600	31.6667	-64.1667	nd	20.3465	36.7541	80	25.988	nd
BATS	206	2005	11	10	11/10/05	121737600	31.6667	-64.1667	1.12E+03	19.2686	36.6632	100	26.229	2.19E+02
BATS	206	2005	11	10	11/10/05	121737600	31.6667	-64.1667	2.24E+01	18.9879	36.6533	120	26.297	8.22E+00
BATS	206	2005	11	10	11/10/05	121737600	31.6667	-64.1667	1.51E+01	18.8367	36.6403	140	26.327	2.98E+00
BATS	206	2005	11	10	11/10/05	121737600	31.6667	-64.1667	6.50E-01	18.6987	36.6374	160	26.356	nd
BATS	206	2005	11	10	11/10/05	121737600	31.6667	-64.1667	nd	18.605	36.7082	180	25.982	nd
BATS	206	2005	11	10	11/10/05	121737600	31.6667	-64.1667	nd	18.5113	36.6138	200	26.391	nd
BATS	207	2005	12	9	12/9/05	124243200	31.6667	-64.1667	1.22E+04	22.4859	36.7019	1	25.374	3.97E+03
BATS	207	2005	12	9	12/9/05	124243200	31.6667	-64.1667	1.08E+04	22.4876	36.702	10	25.374	4.86E+03
BATS	207	2005	12	9	12/9/05	124243200	31.6667	-64.1667	1.02E+04	22.4729	36.7037	20	25.38	4.21E+03
BATS	207	2005	12	9	12/9/05	124243200	31.6667	-64.1667	1.15E+04	22.4887	36.7041	40	25.377	2.17E+03
BATS	207	2005	12	9	12/9/05	124243200	31.6667	-64.1667	1.41E+04	22.4962	36.7033	60	25.375	1.34E+03
BATS	207	2005	12	9	12/9/05	124243200	31.6667	-64.1667	1.32E+04	20.526	36.6788	80	25.905	2.18E+03
BATS	207	2005	12	9	12/9/05	124243200	31.6667	-64.1667	1.49E+03	19.6211	36.6738	100	26.145	4.68E+02
BATS	207	2005	12	9	12/9/05	124243200	31.6667	-64.1667	1.14E+02	19.1221	36.6484	120	26.256	1.74E+01
BATS	207	2005	12	9	12/9/05	124243200	31.6667	-64.1667	6.50E-01	18.8676	36.6363	140	26.314	nd
BATS	207	2005	12	9	12/9/05	124243200	31.6667	-64.1667	6.50E-01	18.7432	36.6331	160	26.343	nd
BATS	207	2005	12	9	12/9/05	124243200	31.6667	-64.1667	nd	18.645	36.7082	180	25.982	nd
BATS	207	2005	12	9	12/9/05	124243200	31.6667	-64.1667	nd	18.5468	36.6115	200	26.379	nd
BATS	208	2006	1	29	1/29/06	128649600	31.6667	-64.1667	2.37E+03	19.7912	36.6081	1	26.046	2.12E+02
BATS	208	2006	1	29	1/29/06	128649600	31.6667	-64.1667	6.50E-01	19.7907	36.6074	10	26.047	nd
BATS	208	2006	1	29	1/29/06	128649600	31.6667	-64.1667	1.97E+03	19.7839	36.6107	20	26.048	2.87E+02
BATS	208	2006	1	29	1/29/06	128649600	31.6667	-64.1667	2.13E+03	19.7895	36.6072	40	26.048	9.89E+01
BATS	208	2006	1	29	1/29/06	128649600	31.6667	-64.1667	1.66E+03	19.7899	36.6086	60	26.049	3.16E+02
BATS	208	2006	1	29	1/29/06	128649600	31.6667	-64.1667	1.78E+03	19.7926	36.6077	80	26.049	2.14E+02
BATS	208	2006	1	29	1/29/06	128649600	31.6667	-64.1667	2.52E+03	19.7941	36.6073	100	26.049	8.65E+02
BATS	208	2006	1	29	1/29/06	128649600	31.6667	-64.1667	1.80E+03	19.7996	36.6067	120	26.049	2.22E+02
BATS	208	2006	1	29	1/29/06	128649600	31.6667	-64.1667	2.01E+03	19.7902	36.6069	140	26.052	2.61E+02
BATS	208	2006	1	29	1/29/06	128649600	31.6667	-64.1667	6.50E-01	19.0391	36.6562	160	26.285	nd
BATS	208	2006	1	29	1/29/06	128649600	31.6667	-64.1667	nd	18.88445	36.64285	180	26.316	nd
BATS	208	2006	1	29	1/29/06	128649600	31.6667	-64.1667	6.50E-01	18.7298	36.6295	200	26.347	nd
BATS	208.5	2006	2	8	2/8/06	129513600	31.6667	-64.1667	nd	19.7359	36.6084	1	26.062	nd
BATS	208.5	2006	2	8	2/8/06	129513600	31.6667	-64.1667	9.75E+02	19.737	36.6085	10	26.062	1.49E+02
BATS	208.5	2006	2	8	2/8/06	129513600	31.6667	-64.1667	1.07E+03	19.7398	36.6086	20	26.062	2.69E+02
BATS	208.5	2006	2	8	2/8/06	129513600	31.6667	-64.1667	1.22E+03	19.7401	36.609	40	26.062	1.79E+02
BATS	208.5	2006	2	8	2/8/06	129513600	31.6667	-64.1667	1.11E+03	19.7455	36.6106	60	26.062	2.12E+02
BATS	208.5	2006	2	8	2/8/06	129513600	31.6667	-64.1667	7.87E+02	19.7492	36.6119	80	26.062	9.10E+01
BATS	208.5	2006	2	8	2/8/06	129513600	31.6667	-64.1667	7.98E+02	19.7495	36.6098	100	26.062	9.12E+01
BATS	208.5	2006	2	8	2/8/06	129513600	31.6667	-64.1667	7.10E+02	19.7311	36.6029	120	26.064	1.16E+02
BATS	208.5	2006	2	8	2/8/06	129513600	31.6667	-64.1667	4.05E+02	19.714	36.5984	140	26.064	4.19E+01
BATS	208.5	2006	2	8	2/8/06	129513600	31.6667	-64.1667	1.40E+02	19.7304	36.6033	160	26.065	1.99E+01
BATS	208.5	2006	2	8	2/8/06	129513600	31.6667	-64.1667	6.50E-01	19.32825	36.61875	180	26.183	nd
BATS	208.5	2006	2	8	2/8/06	129513600	31.6667	-64.1667	6.50E-01	18.9261	36.6342	200	26.301	nd
BATS	209	2006	2	22	2/22/06	130723200	31.6667	-64.1667	3.03E+03	19.3585	36.6213	1	26.17	3.06E+02
BATS	209	2006	2	22	2/22/06	130723200	31.6667	-64.1667	2.19E+03	19.3305	36.6219	10	26.178	2.00E+02
BATS	209	2006	2	22	2/22/06	130723200	31.6667	-64.1667	2.14E+03	19.3302	36.6271	20	26.18	2.83E+02
BATS	209	2006	2	22	2/22/06	130723200	31.6667	-64.1667	1.60E+03	19.3298	36.6206	40	26.18	4.28E+02
BATS	209	2006	2	22	2/22/06	130723200	31.6667	-64.1667	1.56E+03	19.3352	36.6227	60	26.181	1.56E+02
BATS	209	2006	2	22	2/22/06	130723200	31.6667	-64.1667	1.47E+03	19.3325	36.6244	80	26.183	2.32E+02
BATS	209	2006	2	22	2/22/06	130723200	31.6667	-64.1667	1.27E+03	19.3259	36.6241	100	26.185	2.45E+02
