"crn, julian, press, theta, sigma, temp, sal, oxy, xmiss, fluor, nit, "
"#, day, dbar, ITS-90, kg/m3, ITS-90, PSS-78, umol/kg, %, ug/l, umol/kg, "
"  1,   30,    0.0, 26.2693,  23.127, 26.2693, 35.2335,   224.0,  -9.000,  0.0208,  -9.000,"
"  1,   30,    2.0, 26.2691,  23.121, 26.2695, 35.2252,   226.2,  12.805,  0.0492,  -9.000,"
"  1,   30,    4.0, 26.2728,  23.107, 26.2737, 35.2079,   224.8,   8.260,  0.0424,  -9.000,"
"  1,   30,    6.0, 26.2710,  23.107, 26.2724, 35.2076,   215.7,   8.045,  0.0508,  -9.000,"
"  1,   30,    8.0, 26.2687,  23.109, 26.2705, 35.2095,   222.6,   6.555,  0.0482,  -9.000,"
"  1,   30,   10.0, 26.2675,  23.111, 26.2697, 35.2109,   220.0,   5.755,  0.0560,  -9.000,"
"  1,   30,   12.0, 26.2652,  23.110, 26.2679, 35.2094,   218.2,   5.350,  0.0637,  -9.000,"
"  1,   30,   14.0, 26.2613,  23.111, 26.2644, 35.2093,   217.2,   4.415,  0.0706,  -9.000,"
"  1,   30,   16.0, 26.2573,  23.113, 26.2609, 35.2092,   216.5,   3.080,  0.0690,  -9.000,"
"  1,   30,   18.0, 26.2553,  23.113, 26.2593, 35.2095,   216.8,   2.240,  0.0699,  -9.000,"
"  1,   30,   20.0, 26.2543,  23.116, 26.2588, 35.2125,   216.7,   1.770,  0.0738,  -9.000,"
"  1,   30,   22.0, 26.2515,  23.117, 26.2565, 35.2124,   216.2,   1.810,  0.0807,  -9.000,"
"  1,   30,   24.0, 26.2509,  23.117, 26.2563, 35.2123,   215.8,   1.745,  0.0920,  -9.000,"
"  1,   30,   26.0, 26.2500,  23.117, 26.2558, 35.2122,   216.1,   2.010,  0.0883,  -9.000,"
"  1,   30,   28.0, 26.2478,  23.117, 26.2541, 35.2117,   215.4,   1.935,  0.0858,  -9.000,"
"  1,   30,   30.0, 26.2451,  23.118, 26.2519, 35.2117,   214.6,   1.840,  0.0921,  -9.000,"
"  1,   30,   32.0, 26.2365,  23.121, 26.2436, 35.2115,   215.1,   1.795,  0.1038,  -9.000,"
"  1,   30,   34.0, 26.2235,  23.125, 26.2311, 35.2121,   215.8,   1.975,  0.1107,  -9.000,"
"  1,   30,   36.0, 26.2146,  23.129, 26.2227, 35.2129,   215.8,   2.125,  0.1362,  -9.000,"
"  1,   30,   38.0, 26.2072,  23.131, 26.2157, 35.2133,   215.1,   2.030,  0.1431,  -9.000,"
"  1,   30,   40.0, 26.1954,  23.135, 26.2044, 35.2137,   216.9,   1.965,  0.1486,  -9.000,"
"  1,   30,   42.0, 26.1648,  23.148, 26.1742, 35.2175,   216.8,   1.775,  0.1556,  -9.000,"
"  1,   30,   44.0, 26.1341,  23.157, 26.1439, 35.2161,   214.2,   1.665,  0.1593,  -9.000,"
