site,cruiseid,year,month,day,date,yrday_gmt,lat,lon,HLII_narB[cells/mL],temp,sal,depth[m],sigma_0,standard_deviation[cells/mL]
,,,,,,,,,,,,,,
BATS,205,2005,10,11,10/11/05,119145600,31.6667,-64.1667,6960,26.0271,36.606,1,24.237,1530
,,,,,,,,,,,,,,
BATS,205,2005,10,11,10/11/05,119145600,31.6667,-64.1667,10500,26.0296,36.606,10,24.235,1070
,,,,,,,,,,,,,,
BATS,205,2005,10,11,10/11/05,119145600,31.6667,-64.1667,11700,26.0046,36.6193,20,24.255,710
,,,,,,,,,,,,,,
BATS,205,2005,10,11,10/11/05,119145600,31.6667,-64.1667,7960,25.9302,36.6776,40,24.326,475
,,,,,,,,,,,,,,
BATS,205,2005,10,11,10/11/05,119145600,31.6667,-64.1667,28100,21.977,36.6828,60,25.506,7510
,,,,,,,,,,,,,,
BATS,205,2005,10,11,10/11/05,119145600,31.6667,-64.1667,12200,20.5028,36.7143,80,25.939,1980
,,,,,,,,,,,,,,
BATS,205,2005,10,11,10/11/05,119145600,31.6667,-64.1667,1070,19.6661,36.686,100,26.146,165
,,,,,,,,,,,,,,
BATS,205,2005,10,11,10/11/05,119145600,31.6667,-64.1667,53.6,19.2594,36.6784,120,26.247,18.2
,,,,,,,,,,,,,,
BATS,205,2005,10,11,10/11/05,119145600,31.6667,-64.1667,12.3,19.0494,36.6669,140,26.293,3.45
,,,,,,,,,,,,,,
BATS,205,2005,10,11,10/11/05,119145600,31.6667,-64.1667,0.65,18.9453,36.6562,160,26.312,nd
,,,,,,,,,,,,,,
BATS,205,2005,10,11,10/11/05,119145600,31.6667,-64.1667,0.65,18.82775,36.7082,180,25.982,nd
,,,,,,,,,,,,,,
BATS,205,2005,10,11,10/11/05,119145600,31.6667,-64.1667,0.65,18.7102,36.6378,200,26.359,nd
,,,,,,,,,,,,,,
BATS,206,2005,11,10,11/10/05,121737600,31.6667,-64.1667,26800,24.693,36.6608,1,24.695,4010
,,,,,,,,,,,,,,
BATS,206,2005,11,10,11/10/05,121737600,31.6667,-64.1667,32000,24.6955,36.6623,10,24.694,5010
,,,,,,,,,,,,,,
BATS,206,2005,11,10,11/10/05,121737600,31.6667,-64.1667,27200,24.6994,36.662,20,24.693,2310
,,,,,,,,,,,,,,
BATS,206,2005,11,10,11/10/05,121737600,31.6667,-64.1667,29200,24.6884,36.6651,40,24.7,3620
,,,,,,,,,,,,,,
BATS,206,2005,11,10,11/10/05,121737600,31.6667,-64.1667,21200,21.6047,36.6979,60,25.623,1310
,,,,,,,,,,,,,,
BATS,206,2005,11,10,11/10/05,121737600,31.6667,-64.1667,nd,20.3465,36.7541,80,25.988,nd
,,,,,,,,,,,,,,
BATS,206,2005,11,10,11/10/05,121737600,31.6667,-64.1667,1120,19.2686,36.6632,100,26.229,219
,,,,,,,,,,,,,,
BATS,206,2005,11,10,11/10/05,121737600,31.6667,-64.1667,22.4,18.9879,36.6533,120,26.297,8.22
,,,,,,,,,,,,,,
BATS,206,2005,11,10,11/10/05,121737600,31.6667,-64.1667,15.1,18.8367,36.6403,140,26.327,2.98
,,,,,,,,,,,,,,
BATS,206,2005,11,10,11/10/05,121737600,31.6667,-64.1667,0.65,18.6987,36.6374,160,26.356,nd
,,,,,,,,,,,,,,
BATS,206,2005,11,10,11/10/05,121737600,31.6667,-64.1667,nd,18.605,36.7082,180,25.982,nd
,,,,,,,,,,,,,,
BATS,206,2005,11,10,11/10/05,121737600,31.6667,-64.1667,nd,18.5113,36.6138,200,26.391,nd
,,,,,,,,,,,,,,
BATS,207,2005,12,9,12/9/05,124243200,31.6667,-64.1667,12200,22.4859,36.7019,1,25.374,3970
,,,,,,,,,,,,,,
BATS,207,2005,12,9,12/9/05,124243200,31.6667,-64.1667,10800,22.4876,36.702,10,25.374,4860
,,,,,,,,,,,,,,
BATS,207,2005,12,9,12/9/05,124243200,31.6667,-64.1667,10200,22.4729,36.7037,20,25.38,4210
,,,,,,,,,,,,,,
BATS,207,2005,12,9,12/9/05,124243200,31.6667,-64.1667,11500,22.4887,36.7041,40,25.377,2170
,,,,,,,,,,,,,,
BATS,207,2005,12,9,12/9/05,124243200,31.6667,-64.1667,14100,22.4962,36.7033,60,25.375,1340
,,,,,,,,,,,,,,
BATS,207,2005,12,9,12/9/05,124243200,31.6667,-64.1667,13200,20.526,36.6788,80,25.905,2180
,,,,,,,,,,,,,,
BATS,207,2005,12,9,12/9/05,124243200,31.6667,-64.1667,1490,19.6211,36.6738,100,26.145,468
,,,,,,,,,,,,,,
BATS,207,2005,12,9,12/9/05,124243200,31.6667,-64.1667,114,19.1221,36.6484,120,26.256,17.4
,,,,,,,,,,,,,,
BATS,207,2005,12,9,12/9/05,124243200,31.6667,-64.1667,0.65,18.8676,36.6363,140,26.314,nd
,,,,,,,,,,,,,,
BATS,207,2005,12,9,12/9/05,124243200,31.6667,-64.1667,0.65,18.7432,36.6331,160,26.343,nd
