site,cruiseid,year,month,day,date,yrday_gmt,lat,lon,HLII_narB[cells/mL],temp,sal,depth[m],sigma_0,standard_deviation[cells/mL]
,,,,,,,,,,,,,,
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,51300,26.25405,35.1754,5,23.0885,1460
,,,,,,,,,,,,,,
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,54100,26.25405,35.1755,25,23.09,6960
,,,,,,,,,,,,,,
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,38800,26.25265,35.17535,45,23.092,2760
,,,,,,,,,,,,,,
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,44600,26.2519,35.1763,60,23.0935,3500
,,,,,,,,,,,,,,
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,42300,25.9974,35.1785,75,23.176,928
,,,,,,,,,,,,,,
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,31300,25.0553,35.17235,85,23.462,3150
,,,,,,,,,,,,,,
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,18100,23.56525,35.1773,100,23.9115,2530
,,,,,,,,,,,,,,
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,7870,22.64735,35.19795,115,24.193,1260
,,,,,,,,,,,,,,
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,3030,22.0517,35.2008,125,24.364,219
,,,,,,,,,,,,,,
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,148,20.5773,35.12525,150,24.713,27.8
,,,,,,,,,,,,,,
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,30.2,19.2756,35.011,175,24.968,10.4
,,,,,,,,,,,,,,
HOT,174,2005,10,8,10/8/05,118886400,22.75,-158,nd,18.106,34.8922,200,25.173,nd
,,,,,,,,,,,,,,
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,43800,25.27745,35.0801,5,23.3195,6170
,,,,,,,,,,,,,,
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,35200,25.28,35.0802,25,23.32,1810
,,,,,,,,,,,,,,
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,42400,25.27885,35.0848,45,23.325,3830
,,,,,,,,,,,,,,
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,31700,25.2777,35.0876,60,23.3285,3660
,,,,,,,,,,,,,,
HOT,175,2005,11,12,11/12/05,121910400,22.75,-158,34700,25.22485,35.0992,75,23.3545,2190
,,,,,,,,,,,,,,
