site	cruiseid	year	month	day	date	yrday_gmt	lat	lon	HLII_narB[cells/mL]	temp	sal	depth[m]	sigma_0	standard_deviation[cells/mL]
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	5.13E+04	26.25405	35.1754	5	23.0885	1.46E+03
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	5.41E+04	26.25405	35.1755	25	23.09	6.96E+03
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	3.88E+04	26.25265	35.17535	45	23.092	2.76E+03
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	4.46E+04	26.2519	35.1763	60	23.0935	3.50E+03
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	4.23E+04	25.9974	35.1785	75	23.176	9.28E+02
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	3.13E+04	25.0553	35.17235	85	23.462	3.15E+03
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	1.81E+04	23.56525	35.1773	100	23.9115	2.53E+03
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	7.87E+03	22.64735	35.19795	115	24.193	1.26E+03
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	3.03E+03	22.0517	35.2008	125	24.364	2.19E+02
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	1.48E+02	20.5773	35.12525	150	24.713	2.78E+01
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	3.02E+01	19.2756	35.011	175	24.968	1.04E+01
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	nd	18.106	34.8922	200	25.173	nd
HOT	175	2005	11	12	11/12/05	121910400	22.75	-158	4.38E+04	25.27745	35.0801	5	23.3195	6.17E+03
HOT	175	2005	11	12	11/12/05	121910400	22.75	-158	3.52E+04	25.28	35.0802	25	23.32	1.81E+03
HOT	175	2005	11	12	11/12/05	121910400	22.75	-158	4.24E+04	25.27885	35.0848	45	23.325	3.83E+03
HOT	175	2005	11	12	11/12/05	121910400	22.75	-158	3.17E+04	25.2777	35.0876	60	23.3285	3.66E+03
HOT	175	2005	11	12	11/12/05	121910400	22.75	-158	3.47E+04	25.22485	35.0992	75	23.3545	2.19E+03
HOT	175	2005	11	12	11/12/05	121910400	22.75	-158	2.98E+04	24.4633	35.10175	85	23.5875	2.02E+03
HOT	175	2005	11	12	11/12/05	121910400	22.75	-158	3.38E+03	23.39295	35.12365	100	23.921	1.81E+02
HOT	175	2005	11	12	11/12/05	121910400	22.75	-158	1.41E+03	22.8093	35.1515	115	24.112	3.16E+02
HOT	175	2005	11	12	11/12/05	121910400	22.75	-158	3.85E+02	22.4639	35.16315	125	24.2195	6.02E+01
HOT	175	2005	11	12	11/12/05	121910400	22.75	-158	1.47E+01	21.6528	35.17895	150	24.4605	2.66E+00
HOT	175	2005	11	12	11/12/05	121910400	22.75	-158	6.50E-01	21.02695	35.1564	175	24.616	nd
HOT	175	2005	11	12	11/12/05	121910400	22.75	-158	8.21E+00	19.98665	35.0378	200	24.805	1.96E+00
HOT	176	2005	12	13	12/13/05	124588800	22.75	-158	3.14E+04	24.9411	35.18485	5	23.501	2.93E+03
HOT	176	2005	12	13	12/13/05	124588800	22.75	-158	3.16E+04	24.94765	35.1847	25	23.5	6.92E+02
HOT	176	2005	12	13	12/13/05	124588800	22.75	-158	2.91E+04	24.945	35.2107	45	23.522	1.18E+04
HOT	176	2005	12	13	12/13/05	124588800	22.75	-158	2.78E+04	24.9565	35.2376	60	23.54	1.06E+04
HOT	176	2005	12	13	12/13/05	124588800	22.75	-158	nd	24.9705	35.2784	75	23.5675	nd
HOT	176	2005	12	13	12/13/05	124588800	22.75	-158	2.29E+04	24.9804	35.30105	85	23.5825	4.70E+03
HOT	176	2005	12	13	12/13/05	124588800	22.75	-158	2.77E+03	24.39575	35.2807	100	23.744	1.33E+03
HOT	176	2005	12	13	12/13/05	124588800	22.75	-158	1.06E+02	23.2516	35.2117	115	24.0295	3.26E+01
HOT	176	2005	12	13	12/13/05	124588800	22.75	-158	6.02E+01	22.55055	35.18635	125	24.2125	1.23E+01
HOT	176	2005	12	13	12/13/05	124588800	22.75	-158	1.23E+01	21.30765	35.14925	150	24.5325	4.38E+00
HOT	176	2005	12	13	12/13/05	124588800	22.75	-158	1.17E+01	20.1248	35.0651	175	24.788	4.34E+00
HOT	176	2005	12	13	12/13/05	124588800	22.75	-158	nd	18.7262	34.8682	200	25	nd
HOT	177	2006	1	25	1/25/06	128304000	22.75	-158	1.98E+04	23.5587	35.264	5	23.9735	4.51E+03
HOT	177	2006	1	25	1/25/06	128304000	22.75	-158	1.86E+04	23.55465	35.26365	25	23.9755	2.96E+03
HOT	177	2006	1	25	1/25/06	128304000	22.75	-158	1.56E+04	23.53975	35.2641	45	23.9815	2.00E+03
HOT	177	2006	1	25	1/25/06	128304000	22.75	-158	2.31E+04	23.5207	35.2664	60	23.9895	5.84E+03
HOT	177	2006	1	25	1/25/06	128304000	22.75	-158	2.17E+04	23.50985	35.26915	75	23.9955	4.43E+03
HOT	177	2006	1	25	1/25/06	128304000	22.75	-158	2.00E+04	23.49965	35.2725	85	24.002	2.35E+03
HOT	177	2006	1	25	1/25/06	128304000	22.75	-158	2.22E+04	23.4595	35.2804	100	24.0205	2.91E+03
HOT	177	2006	1	25	1/25/06	128304000	22.75	-158	1.69E+04	23.30265	35.2858	115	24.0715	9.54E+02
HOT	177	2006	1	25	1/25/06	128304000	22.75	-158	1.91E+04	23.07445	35.28475	125	24.137	1.51E+03
HOT	177	2006	1	25	1/25/06	128304000	22.75	-158	1.36E+04	22.3017	35.26145	150	24.3415	3.21E+03
HOT	177	2006	1	25	1/25/06	128304000	22.75	-158	1.30E+02	20.8853	35.1215	175	24.628	4.29E+01
HOT	177	2006	1	25	1/25/06	128304000	22.75	-158	1.64E+01	19.2925	34.9904	200	24.9495	6.23E+00
HOT	178	2006	2	15	2/15/06	130118400	22.75	-158	2.84E+04	23.1332	35.20415	5	24.052	2.72E+03
HOT	178	2006	2	15	2/15/06	130118400	22.75	-158	2.83E+04	23.11835	35.20645	25	24.059	4.18E+03
HOT	178	2006	2	15	2/15/06	130118400	22.75	-158	2.76E+04	23.10565	35.20965	45	24.0665	1.79E+03
HOT	178	2006	2	15	2/15/06	130118400	22.75	-158	2.31E+04	23.10045	35.21175	60	24.0705	9.08E+03
HOT	178	2006	2	15	2/15/06	130118400	22.75	-158	2.59E+04	23.0548	35.2177	75	24.0885	3.84E+03
HOT	178	2006	2	15	2/15/06	130118400	22.75	-158	2.23E+04	22.9726	35.21425	85	24.1105	2.46E+03
HOT	178	2006	2	15	2/15/06	130118400	22.75	-158	6.35E+03	22.5556	35.21925	100	24.2345	3.47E+02
HOT	178	2006	2	15	2/15/06	130118400	22.75	-158	3.45E+02	21.96965	35.19	115	24.3785	6.80E+01
