site	cruiseid	year	month	day	date	yrday_gmt	lat	lon	LLI_narB[cells/mL]	temp	sal	depth[m]	sigma_0	standard_deviation[cells/mL]
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	6.50E-01	26.25405	35.1754	5	23.0885	nd
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	6.50E-01	26.25405	35.1755	25	23.09	nd
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	nd	26.25265	35.17535	45	23.092	nd
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	6.50E-01	26.2519	35.1763	60	23.0935	nd
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	6.50E-01	25.9974	35.1785	75	23.176	nd
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	2.66E+01	25.0553	35.17235	85	23.462	1.28E+01
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	2.39E+04	23.56525	35.1773	100	23.9115	6.08E+03
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	3.95E+04	22.64735	35.19795	115	24.193	5.63E+03
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	3.66E+04	22.0517	35.2008	125	24.364	2.73E+03
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	9.20E+03	20.5773	35.12525	150	24.713	2.16E+03
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	1.70E+03	19.2756	35.011	175	24.968	1.60E+02
HOT	174	2005	10	8	10/8/05	118886400	22.75	-158	6.50E+01	18.106	34.8922	200	25.173	1.55E+01
HOT	175	2005	11	12	11/12/05	121910400	22.75	-158	2.08E+01	25.27745	35.0801	5	23.3195	5.66E+00
HOT	175	2005	11	12	11/12/05	121910400	22.75	-158	5.05E+01	25.28	35.0802	25	23.32	1.77E+01
HOT	175	2005	11	12	11/12/05	121910400	22.75	-158	6.80E+01	25.27885	35.0848	45	23.325	2.73E+01
HOT	175	2005	11	12	11/12/05	121910400	22.75	-158	2.26E+01	25.2777	35.0876	60	23.3285	3.96E+00
